material,matno,energy_MeV,stopping_power_electronic_MeV_cm2_g,stopping_power_nuclear_MeV_cm2_g,stopping_power_total_MeV_cm2_g,csda_range_g_cm2,projected_range_g_cm2,detour_factor
copper,029,0.001,34.9,4.408,39.31,4.116e-05,5.62e-06,0.1365
copper,029,0.0015,42.74,4.231,46.97,5.267e-05,8.301e-06,0.1576
copper,029,0.002,49.35,4.049,53.4,6.263e-05,1.101e-05,0.1759
copper,029,0.0025,55.18,3.876,59.06,7.152e-05,1.374e-05,0.1921
copper,029,0.003,60.45,3.718,64.16,7.964e-05,1.647e-05,0.2068
copper,029,0.004,69.8,3.44,73.24,9.419e-05,2.194e-05,0.2329
copper,029,0.005,78.04,3.207,81.24,0.0001071,2.739e-05,0.2556
copper,029,0.006,85.48,3.01,88.49,0.0001189,3.28e-05,0.2758
copper,029,0.007,92.33,2.84,95.17,0.0001298,3.817e-05,0.294
copper,029,0.008,98.71,2.692,101.4,0.00014,4.347e-05,0.3106
copper,029,0.009,104.7,2.561,107.3,0.0001496,4.872e-05,0.3258
copper,029,0.01,110.4,2.445,112.8,0.0001587,5.391e-05,0.3398
copper,029,0.0125,121.4,2.204,123.6,0.0001798,6.668e-05,0.3709
copper,029,0.015,130.9,2.014,132.9,0.0001993,7.925e-05,0.3977
copper,029,0.0175,139.2,1.859,141.1,0.0002175,9.16e-05,0.4211
copper,029,0.02,146.6,1.729,148.4,0.0002348,0.0001037,0.4419
copper,029,0.0225,153.2,1.62,154.8,0.0002513,0.0001157,0.4605
copper,029,0.025,159.0,1.525,160.6,0.0002671,0.0001275,0.4774
copper,029,0.0275,164.3,1.442,165.7,0.0002824,0.0001392,0.4928
copper,029,0.03,168.9,1.369,170.3,0.0002973,0.0001507,0.5069
copper,029,0.035,176.9,1.246,178.1,0.000326,0.0001735,0.5321
copper,029,0.04,183.2,1.146,184.4,0.0003536,0.0001959,0.5541
copper,029,0.045,188.4,1.062,189.4,0.0003803,0.0002181,0.5734
copper,029,0.05,192.5,0.9917,193.5,0.0004064,0.0002401,0.5908
copper,029,0.055,195.9,0.9309,196.8,0.000432,0.000262,0.6064
copper,029,0.06,198.7,0.8779,199.6,0.0004573,0.0002838,0.6206
copper,029,0.065,201.0,0.8314,201.8,0.0004822,0.0003055,0.6336
copper,029,0.07,202.8,0.79,203.6,0.0005068,0.0003272,0.6456
copper,029,0.075,204.4,0.7531,205.1,0.0005313,0.0003489,0.6567
copper,029,0.08,205.6,0.7198,206.3,0.0005556,0.0003705,0.6669
copper,029,0.085,206.7,0.6896,207.3,0.0005798,0.0003922,0.6765
copper,029,0.09,207.5,0.6622,208.2,0.0006038,0.0004139,0.6855
copper,029,0.095,208.2,0.6371,208.8,0.0006278,0.0004356,0.6939
copper,029,0.1,208.7,0.614,209.3,0.0006517,0.0004574,0.7018
copper,029,0.125,209.9,0.5217,210.4,0.0007707,0.0005667,0.7353
copper,029,0.15,209.2,0.4556,209.7,0.0008897,0.0006774,0.7613
copper,029,0.175,207.5,0.4055,207.9,0.001009,0.0007897,0.7824
copper,029,0.2,205.1,0.3662,205.5,0.00113,0.000904,0.7998
copper,029,0.225,202.3,0.3344,202.6,0.001253,0.00102,0.8144
copper,029,0.25,199.1,0.3081,199.4,0.001377,0.001139,0.827
copper,029,0.275,195.8,0.286,196.1,0.001504,0.00126,0.838
copper,029,0.3,192.3,0.2671,192.6,0.001632,0.001383,0.8476
copper,029,0.35,185.4,0.2364,185.6,0.001897,0.001638,0.8637
copper,029,0.4,178.6,0.2125,178.8,0.002171,0.001903,0.8767
copper,029,0.45,172.0,0.1933,172.2,0.002456,0.00218,0.8874
copper,029,0.5,165.8,0.1775,166.0,0.002752,0.002467,0.8964
copper,029,0.55,159.6,0.1643,159.8,0.003059,0.002766,0.9041
copper,029,0.6,153.6,0.153,153.8,0.003378,0.003076,0.9108
copper,029,0.65,148.0,0.1433,148.1,0.003709,0.0034,0.9166
copper,029,0.7,142.7,0.1348,142.8,0.004053,0.003736,0.9217
copper,029,0.75,137.8,0.1274,137.9,0.004409,0.004084,0.9262
copper,029,0.8,133.3,0.1208,133.4,0.004778,0.004445,0.9303
copper,029,0.85,129.1,0.1149,129.2,0.005159,0.004818,0.9339
copper,029,0.9,125.2,0.1095,125.3,0.005552,0.005203,0.9371
copper,029,0.95,121.7,0.1047,121.8,0.005957,0.005599,0.94
copper,029,1.0,118.3,0.1003,118.4,0.006373,0.006008,0.9427
copper,029,1.25,104.7,0.08324,104.8,0.008622,0.008216,0.9529
copper,029,1.5,94.43,0.07139,94.5,0.01114,0.01069,0.9598
copper,029,1.75,86.45,0.06265,86.52,0.01391,0.01342,0.9647
copper,029,2.0,79.87,0.05593,79.92,0.01692,0.01638,0.9683
copper,029,2.25,74.25,0.05058,74.3,0.02016,0.01958,0.9711
copper,029,2.5,69.55,0.04622,69.6,0.02364,0.02301,0.9734
copper,029,2.75,65.52,0.04259,65.56,0.02735,0.02667,0.9752
copper,029,3.0,61.96,0.0395,61.99,0.03127,0.03054,0.9767
copper,029,3.5,56.07,0.03457,56.1,0.03976,0.03893,0.979
copper,029,4.0,51.33,0.03078,51.36,0.04909,0.04814,0.9807
copper,029,4.5,47.43,0.02778,47.46,0.05922,0.05816,0.9821
copper,029,5.0,44.16,0.02534,44.18,0.07015,0.06897,0.9831
copper,029,5.5,41.36,0.02331,41.39,0.08185,0.08054,0.984
copper,029,6.0,38.94,0.02159,38.97,0.09431,0.09286,0.9847
copper,029,6.5,36.83,0.02013,36.85,0.1075,0.1059,0.9853
