material,matno,energy_MeV,stopping_power_electronic_MeV_cm2_g,stopping_power_nuclear_MeV_cm2_g,stopping_power_total_MeV_cm2_g,csda_range_g_cm2,projected_range_g_cm2,detour_factor
lead,082,0.001,15.4,0.829,16.23,0.0001079,1.006e-05,0.0932
lead,082,0.0015,18.86,0.8494,19.71,0.0001355,1.428e-05,0.1054
lead,082,0.002,21.78,0.8554,22.64,0.0001592,1.843e-05,0.1158
lead,082,0.0025,24.35,0.8548,25.21,0.0001801,2.253e-05,0.1251
lead,082,0.003,26.68,0.8508,27.53,0.000199,2.658e-05,0.1335
lead,082,0.004,30.81,0.8374,31.64,0.0002328,3.46e-05,0.1486
lead,082,0.005,34.44,0.8208,35.26,0.0002627,4.255e-05,0.162
lead,082,0.006,37.73,0.8033,38.53,0.0002898,5.045e-05,0.1741
lead,082,0.007,40.75,0.7856,41.54,0.0003148,5.83e-05,0.1852
lead,082,0.008,43.57,0.7682,44.33,0.0003381,6.61e-05,0.1955
lead,082,0.009,46.21,0.7514,46.96,0.00036,7.387e-05,0.2052
lead,082,0.01,48.71,0.7352,49.44,0.0003807,8.16e-05,0.2143
lead,082,0.0125,53.82,0.6977,54.51,0.0004288,0.0001009,0.2352
lead,082,0.015,58.34,0.6643,59.01,0.0004728,0.00012,0.2539
lead,082,0.0175,62.45,0.6344,63.08,0.0005138,0.0001391,0.2708
lead,082,0.02,66.21,0.6075,66.82,0.0005523,0.0001581,0.2863
lead,082,0.0225,69.7,0.5833,70.28,0.0005887,0.0001769,0.3005
lead,082,0.025,72.94,0.5614,73.5,0.0006235,0.0001956,0.3137
lead,082,0.0275,75.98,0.5413,76.53,0.0006568,0.0002141,0.326
lead,082,0.03,78.85,0.523,79.37,0.0006889,0.0002325,0.3376
lead,082,0.035,84.11,0.4905,84.6,0.0007499,0.0002689,0.3587
lead,082,0.04,88.84,0.4626,89.3,0.0008074,0.0003048,0.3776
lead,082,0.045,93.13,0.4383,93.56,0.000862,0.0003402,0.3947
lead,082,0.05,97.02,0.4169,97.44,0.0009144,0.0003752,0.4104
lead,082,0.055,100.6,0.3978,101.0,0.0009648,0.0004098,0.4248
lead,082,0.06,103.8,0.3807,104.2,0.001014,0.000444,0.4381
lead,082,0.065,106.8,0.3653,107.1,0.001061,0.0004779,0.4505
lead,082,0.07,109.5,0.3513,109.8,0.001107,0.0005115,0.4621
lead,082,0.075,111.9,0.3385,112.2,0.001152,0.0005449,0.473
lead,082,0.08,114.1,0.3268,114.5,0.001196,0.0005781,0.4833
lead,082,0.085,116.2,0.316,116.5,0.001239,0.000611,0.493
lead,082,0.09,118.0,0.306,118.3,0.001282,0.0006438,0.5022
lead,082,0.095,119.6,0.2967,119.9,0.001324,0.0006765,0.511
lead,082,0.1,121.1,0.288,121.4,0.001365,0.0007091,0.5193
lead,082,0.125,126.1,0.2522,126.4,0.001567,0.0008712,0.5561
lead,082,0.15,128.1,0.2253,128.3,0.001763,0.001034,0.5865
lead,082,0.175,127.9,0.2042,128.1,0.001957,0.001199,0.6126
lead,082,0.2,126.3,0.1872,126.5,0.002154,0.001368,0.6353
lead,082,0.225,123.6,0.173,123.8,0.002353,0.001543,0.6555
lead,082,0.25,120.4,0.1611,120.6,0.002558,0.001723,0.6736
lead,082,0.275,116.9,0.1509,117.1,0.002768,0.00191,0.69
lead,082,0.3,113.3,0.1421,113.5,0.002985,0.002104,0.7048
lead,082,0.35,106.4,0.1274,106.5,0.00344,0.002514,0.7309
lead,082,0.4,99.98,0.1158,100.1,0.003925,0.002955,0.7529
lead,082,0.45,94.37,0.1063,94.48,0.004439,0.003425,0.7716
lead,082,0.5,89.5,0.09838,89.6,0.004983,0.003925,0.7876
lead,082,0.55,85.18,0.09166,85.28,0.005555,0.004452,0.8015
lead,082,0.6,81.37,0.08589,81.46,0.006155,0.005007,0.8135
lead,082,0.65,78.01,0.08086,78.1,0.006782,0.005589,0.8241
lead,082,0.7,75.05,0.07644,75.12,0.007435,0.006196,0.8333
lead,082,0.75,72.42,0.07253,72.49,0.008113,0.006827,0.8415
lead,082,0.8,70.08,0.06903,70.15,0.008814,0.007481,0.8488
lead,082,0.85,67.99,0.06588,68.06,0.009538,0.008157,0.8552
lead,082,0.9,66.12,0.06303,66.19,0.01028,0.008854,0.8611
lead,082,0.95,64.44,0.06044,64.5,0.01105,0.009571,0.8663
lead,082,1.0,62.92,0.05807,62.98,0.01183,0.01031,0.871
lead,082,1.25,56.88,0.04873,56.93,0.01602,0.01424,0.8893
lead,082,1.5,52.22,0.04216,52.26,0.02061,0.01858,0.9016
lead,082,1.75,48.46,0.03725,48.5,0.02558,0.02329,0.9105
lead,082,2.0,45.34,0.03344,45.37,0.03091,0.02836,0.9174
lead,082,2.25,42.69,0.03038,42.72,0.03659,0.03377,0.9228
lead,082,2.5,40.4,0.02788,40.43,0.04261,0.03951,0.9272
lead,082,2.75,38.4,0.02578,38.43,0.04896,0.04557,0.9308
lead,082,3.0,36.63,0.024,36.66,0.05562,0.05195,0.9339
lead,082,3.5,33.64,0.02112,33.66,0.06988,0.06561,0.9389
lead,082,4.0,31.18,0.0189,31.2,0.08532,0.08043,0.9427
lead,082,4.5,29.13,0.01713,29.14,0.1019,0.09639,0.9458
lead,082,5.0,27.37,0.01568,27.39,0.1196,0.1134,0.9483
lead,082,5.5,25.86,0.01447,25.87,0.1384,0.1316,0.9504
lead,082,6.0,24.53,0.01344,24.54,0.1583,0.1507,0.9522
lead,082,6.5,23.36,0.01256,23.37,0.1792,0.1709,0.9538
lead,082,7.0,22.31,0.0118,22.32,0.2011,0.192,0.9552
lead,082,7.5,21.37,0.01113,21.38,0.2239,0.2142,0.9564
lead,082,8.0,20.51,0.01053,20.52,0.2478,0.2373,0.9575
lead,082,8.5,19.74,0.009999,19.75,0.2727,0.2613,0.9584
lead,082,9.0,19.03,0.009521,19.04,0.2985,0.2863,0.9593
lead,082,9.5,18.38,0.00909,18.39,0.3252,0.3122,0.9601
lead,082,10.0,17.78,0.008698,17.79,0.3528,0.339,0.9608
lead,082,12.5,15.35,0.007176,15.36,0.5046,0.4863,0.9638
lead,082,15.0,13.59,0.006127,13.59,0.678,0.6548,0.9658
lead,082,17.5,12.23,0.005359,12.24,0.8722,0.8438,0.9674
lead,082,20.0,11.16,0.00477,11.16,1.086,1.052,0.9687
lead,082,25.0,9.55,0.003923,9.554,1.572,1.526,0.9706
lead,082,27.5,8.929,0.003608,8.932,1.843,1.79,0.9713
lead,082,30.0,8.393,0.003342,8.396,2.132,2.072,0.972
lead,082,35.0,7.514,0.002916,7.516,2.763,2.688,0.973
lead,082,40.0,6.822,0.002591,6.825,3.462,3.371,0.9739
lead,082,45.0,6.264,0.002334,6.267,4.227,4.12,0.9746
lead,082,50.0,5.804,0.002125,5.806,5.057,4.931,0.9752
lead,082,55.0,5.418,0.001952,5.42,5.949,5.804,0.9757
lead,082,60.0,5.088,0.001806,5.09,6.901,6.737,0.9761
